STATE_FIPS,STATE_NAME,COUNTY_FIPS,COUNTY_NAME,cbg_count,total_renters,burden_30_plus,burden_50_plus,burden_under_20,not_computed,rent_burden_ratio_30_plus,severe_burden_ratio_50_plus,low_burden_ratio_under_20,county_state_name
6,California,6037,"Los Angeles County, California",6425,1797279,985884,521881,336413,86259,0.5485425468166044,0.2903728358257121,0.18717906346204458,"Los Angeles County, California, California"
17,Illinois,17031,"Cook County, Illinois",3993,849524,392141,204825,212054,50498,0.4616008494168499,0.24110560737542436,0.24961507856164158,"Cook County, Illinois, Illinois"
48,Texas,48201,"Harris County, Texas",2144,728914,344075,168239,175392,39427,0.472037853573947,0.23080774961106523,0.2406209786065297,"Harris County, Texas, Texas"
36,New York,36047,"Kings County, New York",2085,669935,340284,187304,155683,33356,0.5079358445222297,0.27958533290543114,0.23238523140304657,"Kings County, New York, New York"
4,Arizona,4013,"Maricopa County, Arizona",2505,586804,264395,126546,142839,32811,0.4505678216235745,0.21565292670124947,0.24341858610370753,"Maricopa County, Arizona, Arizona"
36,New York,36061,"New York County, New York",1170,576664,248316,122726,180597,24782,0.43060777159663166,0.21282063732086623,0.31317543664941805,"New York County, New York, New York"
6,California,6073,"San Diego County, California",1795,525182,286026,144790,95753,21164,0.5446226260610607,0.2756949019577975,0.1823234612001173,"San Diego County, California, California"
48,Texas,48113,"Dallas County, Texas",1669,464121,205770,93788,119741,21911,0.4433542115094986,0.20207661364170118,0.2579952210738148,"Dallas County, Texas, Texas"
6,California,6059,"Orange County, California",1823,442220,238547,120166,79017,20388,0.5394306001537696,0.2717335262991271,0.17868255619374973,"Orange County, California, California"
12,Florida,12086,"Miami-Dade County, Florida",1594,431440,261156,143455,55328,26506,0.6053124420545151,0.3325027813832746,0.12824031151492676,"Miami-Dade County, Florida, Florida"
36,New York,36081,"Queens County, New York",1746,430200,218148,116416,96479,24213,0.5070850767085077,0.2706090190609019,0.22426545792654579,"Queens County, New York, New York"
36,New York,36005,"Bronx County, New York",1154,404617,231779,131818,74014,20321,0.5728355457136007,0.3257846308978614,0.1829236042973973,"Bronx County, New York, New York"
53,Washington,53033,"King County, Washington",1422,379735,165458,75784,99832,14114,0.4357196465956522,0.19957075328847748,0.2628991270227922,"King County, Washington, Washington"
32,Nevada,32003,"Clark County, Nevada",1294,362272,176435,85051,83169,19378,0.48702356240614786,0.23477111120925714,0.22957611960074198,"Clark County, Nevada, Nevada"
42,Pennsylvania,42101,"Philadelphia County, Pennsylvania",1336,282465,141074,81425,61489,22624,0.49943886853238456,0.2882658028428301,0.21768714708016923,"Philadelphia County, Pennsylvania, Pennsylvania"
48,Texas,48439,"Tarrant County, Texas",1177,279622,126559,57632,67781,13169,0.45260744862707514,0.20610681562967148,0.2424022430280879,"Tarrant County, Texas, Texas"
6,California,6085,"Santa Clara County, California",1075,279110,124373,60222,75135,10822,0.445605675181828,0.2157643939665365,0.26919494106266345,"Santa Clara County, California, California"
6,California,6001,"Alameda County, California",1047,268286,127658,63047,62795,10963,0.47582803426194437,0.23499921725322975,0.2340599211289445,"Alameda County, California, California"
48,Texas,48029,"Bexar County, Texas",1084,263873,121965,57338,60808,17814,0.46221098786158493,0.21729392548688195,0.23044419095549754,"Bexar County, Texas, Texas"
12,Florida,12011,"Broward County, Florida",940,261368,153520,79823,38224,12616,0.5873710630222522,0.30540464020078967,0.14624590615530592,"Broward County, Florida, Florida"
26,Michigan,26163,"Wayne County, Michigan",1822,259135,128207,71285,53930,24199,0.4947498408165628,0.2750882744515407,0.20811546105311904,"Wayne County, Michigan, Michigan"
6,California,6071,"San Bernardino County, California",1092,255760,139723,70895,45974,12415,0.5463051298091961,0.27719346262120736,0.17975445730372225,"San Bernardino County, California, California"
6,California,6065,"Riverside County, California",1030,243949,134999,69883,43349,13559,0.553390257799786,0.2864656137143419,0.17769697764696718,"Riverside County, California, California"
39,Ohio,39049,"Franklin County, Ohio",887,238402,100402,48865,67176,10593,0.421145795756747,0.20496891804598955,0.2817761595959765,"Franklin County, Ohio, Ohio"
6,California,6067,"Sacramento County, California",912,236701,123701,63173,47116,10904,0.5226044672392597,0.2668894512486217,0.19905281346508888,"Sacramento County, California, California"
25,Massachusetts,25017,"Middlesex County, Massachusetts",1133,227496,97010,45221,61064,11522,0.4264250800014066,0.19877712135597989,0.2684179062489011,"Middlesex County, Massachusetts, Massachusetts"
6,California,6075,"San Francisco County, California",581,226115,79823,38741,85272,8853,0.35301948123742344,0.17133317117396016,0.3771178382681379,"San Francisco County, California, California"
39,Ohio,39035,"Cuyahoga County, Ohio",1162,225906,101003,53487,56915,17091,0.4471018919373545,0.2367666197444955,0.2519410728356042,"Cuyahoga County, Ohio, Ohio"
48,Texas,48453,"Travis County, Texas",580,225010,101679,48386,55274,9172,0.4518865828185414,0.21503933158526287,0.2456513043864717,"Travis County, Texas, Texas"
12,Florida,12057,"Hillsborough County, Florida",881,217958,107072,52728,45014,12913,0.4912506079152864,0.2419181677203865,0.20652602795033906,"Hillsborough County, Florida, Florida"
12,Florida,12095,"Orange County, Florida",375,205912,109854,53289,36011,10226,0.5334997474649364,0.2587950192315164,0.1748853879327091,"Orange County, Florida, Florida"
13,Georgia,13121,"Fulton County, Georgia",544,198708,92570,45599,48729,8540,0.4658594520603096,0.22947742416007408,0.2452291805060692,"Fulton County, Georgia, Georgia"
25,Massachusetts,25025,"Suffolk County, Massachusetts",646,198033,95440,49843,46056,10687,0.48193987870708416,0.25169037483651713,0.2325672993894957,"Suffolk County, Massachusetts, Massachusetts"
42,Pennsylvania,42003,"Allegheny County, Pennsylvania",1100,193411,80441,41989,57184,11558,0.41590705802668926,0.21709726954516548,0.2956605363707338,"Allegheny County, Pennsylvania, Pennsylvania"
55,Wisconsin,55079,"Milwaukee County, Wisconsin",859,193121,90972,47967,47170,10912,0.47106218381222137,0.24837795993185618,0.24425101361322693,"Milwaukee County, Wisconsin, Wisconsin"
27,Minnesota,27053,"Hennepin County, Minnesota",973,191183,84402,41283,52070,6089,0.4414723066381425,0.2159344711611388,0.2723568518121381,"Hennepin County, Minnesota, Minnesota"
37,North Carolina,37119,"Mecklenburg County, North Carolina",555,179313,79400,35600,48337,8025,0.44280113544472516,0.19853552168554428,0.26956773909309417,"Mecklenburg County, North Carolina, North Carolina"
34,New Jersey,34017,"Hudson County, New Jersey",445,176657,78112,38258,49795,6269,0.4421675903021109,0.21656656684988423,0.2818739138556638,"Hudson County, New Jersey, New Jersey"
12,Florida,12099,"Palm Beach County, Florida",886,172484,96388,50578,29971,9752,0.5588228473365645,0.29323299552422255,0.1737610445026785,"Palm Beach County, Florida, Florida"
18,Indiana,18097,"Marion County, Indiana",632,171814,83409,40828,37375,11897,0.48546102180264705,0.23762906398780076,0.2175317494499866,"Marion County, Indiana, Indiana"
11,District of Columbia,11001,"District of Columbia, District of Columbia",450,166019,72371,36121,43351,9494,0.43591998506195073,0.2175714827820912,0.26112071509887425,"District of Columbia, District of Columbia, District of Columbia"
34,New Jersey,34013,"Essex County, New Jersey",671,160131,84240,46300,34015,7050,0.5260692807763644,0.28913826804303977,0.21241983126315328,"Essex County, New Jersey, New Jersey"
47,Tennessee,47157,"Shelby County, Tennessee",628,157847,78048,41188,33639,12271,0.494453489771741,0.2609362230514359,0.2131114306892117,"Shelby County, Tennessee, Tennessee"
12,Florida,12031,"Duval County, Florida",490,155567,72542,33191,34664,9312,0.4663071216903328,0.21335501745228744,0.22282360654894676,"Duval County, Florida, Florida"
8,Colorado,8031,"Denver County, Colorado",481,151119,68303,33031,37658,5951,0.45198155096314824,0.2185760890424103,0.24919434353059508,"Denver County, Colorado, Colorado"
4,Arizona,4019,"Pima County, Arizona",630,149062,70398,35562,34685,11050,0.4722732822583891,0.23857186942346137,0.23268841153345587,"Pima County, Arizona, Arizona"
